text,type,category
"Paid ₹2400 for monthly rent on Jan 15th",Expense,Rent
"Spent INR 850 at Big Bazaar for groceries on Jan 12th",Expense,Groceries
"Salary credited Rs. 45000 from TechCorp Solutions on Jan 1st",Income,Salary
"Paid ₹1200 for electricity bill on Jan 10th",Expense,Utilities
"Spent INR 320 at Cafe Coffee Day with friends on Jan 8th",Expense,Food
"Paid Rs. 2000 for monthly gym membership on Jan 5th",Expense,Health
"Freelance payment received ₹8500 from web design project on Jan 18th",Income,Freelance
"Paid INR 1800 for medical checkup at Apollo Hospital on Jan 14th",Expense,Medical
"Paid Rs. 450 for Uber ride to airport on Jan 20th",Expense,Transport
"Spent ₹3499 on Udemy online course on Jan 7th",Expense,Education
"Refund received INR 12000 from cancelled flight on Jan 22nd",Income,Refund
"Spent Rs. 3500 on jewelry as birthday gift on Jan 11th",Expense,Gifts
"Transferred ₹10000 to savings account on Jan 16th",Expense,Bank Transfer
"Invested INR 5000 in mutual fund SIP on Jan 2nd",Expense,Investments
"Spent Rs. 1200 on BigBasket grocery delivery on Jan 25th",Expense,Groceries
"Paid ₹800 for dinner at McDonald's with family on Jan 19th",Expense,Food
"Paid INR 350 for monthly water bill on Jan 6th",Expense,Utilities
"Spent Rs. 600 on PVR movie tickets on Jan 13th",Expense,Entertainment
"Consulting fees received ₹25000 from client on Jan 28th",Income,Freelance
"Spent INR 750 on prescription medicines on Jan 9th",Expense,Medical
"Paid Rs. 1200 for bus ticket to Mumbai on Jan 17th",Expense,Transport
"Paid ₹4500 for Python programming course on Jan 21st",Expense,Education
"Refund received INR 899 from Amazon return on Jan 24th",Income,Refund
"Spent Rs. 2000 on wedding gift for colleague on Jan 15th",Expense,Gifts
"Fixed deposit maturity credited ₹150000 on Jan 30th",Income,Investments
"Spent INR 400 on vegetables at local market on Jan 3rd",Expense,Groceries
"Paid Rs. 650 for Domino's pizza order on Jan 26th",Expense,Food
"Paid ₹999 for Airtel Fiber internet bill on Jan 4th",Expense,Utilities
"Paid INR 8000 for office space rent on Feb 1st",Expense,Rent
"Received Rs. 12000 from graphic design project on Jan 29th",Income,Freelance
"Spent ₹5500 on eye checkup and glasses on Feb 2nd",Expense,Medical
"Paid INR 3500 for hotel booking in Goa on Jan 23rd",Expense,Travel
"Paid Rs. 2800 for photography workshop fee on Feb 5th",Expense,Education
"Refund received ₹1299 from Flipkart return on Feb 3rd",Income,Refund
"Spent INR 4000 on anniversary gift for parents on Jan 27th",Expense,Gifts
"Invested Rs. 20000 in Reliance stocks on Feb 4th",Expense,Investments
"Spent ₹2200 on monthly ration from D-Mart on Feb 1st",Expense,Groceries
"Paid INR 180 for lunch at office cafeteria on Feb 6th",Expense,Food
"Paid Rs. 950 for gas cylinder refill on Feb 2nd",Expense,Utilities
"Spent ₹1500 on cricket match tickets on Feb 8th",Expense,Entertainment
"Received INR 6000 from content writing project on Feb 7th",Income,Freelance
"Paid Rs. 2200 for dental treatment on Feb 9th",Expense,Medical
"Paid ₹4500 for flight ticket to Delhi on Feb 10th",Expense,Transport
"Paid INR 4200 for Microsoft Office subscription on Feb 5th",Expense,Education
"Refund received Rs. 899 from cancelled Myntra order on Feb 11th",Income,Refund
"Paid ₹1000 as Diwali bonus to maid on Feb 12th",Expense,Gifts
"Invested INR 15000 in ELSS for tax saving on Feb 13th",Expense,Investments
"Spent Rs. 250 on fruits and snacks from vendor on Feb 14th",Expense,Groceries
"Paid ₹120 for street food at evening market on Feb 15th",Expense,Food
"Paid INR 299 for Jio mobile recharge on Feb 8th",Expense,Utilities
"Part-time teaching salary credited Rs. 8000 on Feb 16th",Income,Salary
"Received ₹18000 from web development project on Feb 17th",Income,Freelance
"Paid INR 800 for blood test at diagnostic center on Feb 18th",Expense,Medical
"Paid Rs. 450 for train ticket to Pune on Feb 19th",Expense,Transport
"Paid ₹1500 for online guitar lessons subscription on Feb 14th",Expense,Education
"Wrong transaction reversal refund INR 5000 on Feb 20th",Income,Refund
"Spent Rs. 2500 on birthday celebration dinner on Feb 21st",Expense,Food
"Paid ₹3200 for house maintenance and repairs on Feb 22nd",Expense,Household
"Spent INR 35000 on gaming console purchase on Feb 16th",Expense,Entertainment
"Received Rs. 4500 from logo design project on Feb 23rd",Income,Freelance
"Paid ₹600 for physiotherapy session on Feb 24th",Expense,Medical
"Paid INR 280 for cab fare to railway station on Feb 25th",Expense,Transport
"Spent Rs. 450 on book purchase from Amazon on Feb 26th",Expense,Education
"Duplicate payment refund ₹2000 received on Feb 27th",Income,Refund
"Spent INR 800 on Christmas gift for neighbor on Dec 25th",Expense,Gifts
